2048 0xe800 [] 	Raet A1 sin
2049 0xe801 []	Raet A1 dex
2050 0xe802 []	Raet A2 sin  (0)
2051 0xe803 []	Raet A2 dex
2052 0xe804 []	Raet A3 sin
2053 0xe805 []	Raet A3 sin
2054 0xe806 []	Raet A4 sin
2055 0xe807 []	Raet A4 dex
2056 0xe808 []	Raet A5 sin
2057 0xe809 []	Raet A5 dex
2058 0xe80a []	Raet A6 sin
2059 0xe80b []	Raet A6 dex  (0)
2060 0xe80c []	Raet A7 sin
2061 0xe80d []	Raet A7 dex
2062 0xe80e []	Raet A8 sin  (0)
2063 0xe80f []	Raet A8 dex
2064 0xe810 []	Raet A9 sin  (0)
2065 0xe811 []	Raet A9 dex
2066 0xe812 []	Raet A10 sin  (0)
2067 0xe813 []	Raet A10 dex  (0)
2068 0xe814 []	Raet A11 sin
2069 0xe815 []	Raet A11 dex  (0)	
2070 0xe816 []	Raet A12 sin
2071 0xe817 []	Raet A12 dex  (0)
2072 0xe818 []	Raet A13 sin
2073 0xe819 []	Raet A13 dex
2074 0xe81a []	Raet A14 sin
2075 0xe81b []	Raet A14 dex
2076 0xe81c []	Raet A15
2077 0xe81d []	Raet E1 sin  [= Lep E1 sin = Etr E1]
2078 0xe81e []	Raet E1 dex
2079 0xe81f []	Raet E2 sin

2080 0xe820 []	Raet E2 dex
2081 0xe821 []	Raet E3 sin
2082 0xe822 []	Raet E3 dex
2083 0xe823 []	Raet E4 sin
2084 0xe824 []	Raet E4 dex  (0)
2085 0xe825 []	Raet E5 sin  (0)
2086 0xe826 []	Raet E5 dex
2087 0xe827 []	Raet V1 sin
2088 0xe828 []	Raet V1 dex
2089 0xe829 []	Raet V2 sin
2090 0xe82a []	Raet V2 dex  (0)
2091 0xe82b []	Raet V3 sin
2092 0xe82c []	Raet V3 dex  (0)
2093 0xe82d []	Raet V4 sin  (0)
2094 0xe82e []	Raet V4 dex
2095 0xe82f []	Raet Z1 sin
2096 0xe830 []	Raet Z1 dex
2097 0xe831 []	Raet Z2 sin
2098 0xe832 []	Raet Z2 dex  (0)
2099 0xe833 []	Raet Z3
2100 0xe834 []	Raet Z4 sin  (0)
2101 0xe835 []	Raet Z4 dex
2102 0xe836 []	Raet H1 sin  (0)
